Input,Predicted,Actual
I have you now.,<unk> तुम <unk> <unk> . .,मैं अब तुम्हारे पास है.
( MUFFLED SCREAMING ),( <unk> <unk> ) <unk>,(दबी चिल्ला)
"Hey, what's all the racket?","<unk> , क्या क्या क्या है ?","ए, यह कैसा शोर है?"
- I'm the salesman.,<unk> <unk> <unk> <unk> .,- मैं विक्रेता हूँ।
"All right, that's it, okay.","<unk> , है है , , है है है","यह है कि ठीक है, ठीक है."
- And the soup?,<unk> <unk> <unk> ? ?,- और सूप?
Brought you a present.,<unk> <unk> <unk> <unk> . .,तुम्हारे लिए एक तोहफ़ा लाया हूं।
"- Bobby, for Christ's sakes,",<unk> <unk> <unk> के के के के लिए,"- भगवान के लिए बॉबी,"
They use the thundercloud formation.,<unk> <unk> <unk> <unk> <unk> <unk>,वे आंधी का मेघ गठन का उपयोग करें.
Knowledge that came too late.,<unk> <unk> कि कि <unk> . .,बहुत देर से आया है कि ज्ञान.
- He is handsome!,<unk> <unk> <unk> कर है,- वह सुंदर है!
Was the flight on time?,<unk> <unk> <unk> <unk> ?,फ्लाइट वक्त पर थी ना?
"Lucy, we love you!","<unk> , , , प्यार प्यार","लूसी, हम तुमसे प्यार करते हैं!"
I am the queen.,<unk> <unk> <unk> <unk> .,मैं रानी हूँ.
We had acres of corn.,<unk> <unk> <unk> <unk> <unk> <unk>,हमारे पास काफी मकाई थी .
"Good morning, lovely ladies.",<unk> <unk> <unk> <unk> <unk> <unk>,"सुप्रभात, प्रिय महिलाएं."
What are you doing here?,<unk> यहाँ यहाँ कर रहे हो हो,तुम यहाँ क्या कर रहे हो?
How do you know about...,आप के के के के के .,कैसे आप के बारे में पता है ...
I was raised that way.,<unk> <unk> <unk> <unk> <unk> . .,मुझे लगता है कि जिस तरह से उठाया गया था.
What if I say No?,<unk> <unk> <unk> <unk> <unk> ?,मैं नहीं क्या कहना है?
"Please, don't do this.","<unk> , यह नहीं नहीं करो .","कृपया, ऐसा नहीं करते हैं।"
She wanted a conservatory.,<unk> <unk> <unk> <unk> <unk> <unk>,विंसेंट।
I thought I killed you.,<unk> आप <unk> <unk> <unk> कर .,मैंने सोचा कि मैं आप को मार डाला।
If you would be so...,<unk> तुम तुम . . . .,यदि आप ऐसा होगा ...
"Nobody gonna shot you, Fue.",<unk> <unk> <unk> <unk> <unk> कर .,"लावारिस वाला Fue, तुम्हें गोली मार दी."
- Fucking hell! Brian!,<unk> <unk> <unk> ! ! !,-भाड़ में जाओ ब्रायन!
Ape always seek strongest branch.,<unk> <unk> <unk> <unk> <unk> <unk> <unk>,वानर हमेशा मजबूत टहनी पर लटकते हैं।
She's a tiny little girl.,<unk> एक एक एक <unk> है,वह एक छोटे से लड़की है।
"All right, all right.","<unk> ठीक , , , है है",सब ठीक सब ठीक।
"Well, that's a first.","<unk> , यह एक एक है है है","वैसे, यह पहली बार है."
Projectile 2 is Superman.,<unk> <unk> <unk> <unk> <unk> .,फेंकने 2 सुपरमैन है।
It's mighty breezy out there.,<unk> <unk> <unk> <unk> <unk> . .,यहवहाँबाहरसमीरिकशक्तिशालीहै.
Don't give me that look.,<unk> मुझे नहीं नहीं है .,ऐसे मत देखो मुझे.
What do I care?,<unk> <unk> <unk> <unk> ?,मुझे परवाह नहीं है।
Whatever your name is.,आपका नाम नाम नाम है .,आपका नाम है जो भी हो.
The Lady of Winterfell.,<unk> <unk> <unk> <unk> <unk> <unk>,Winterfell के लेडी।
"Signe, my dear, don't cry.","<unk> , , , , नहीं नहीं नहीं","सिग्ने, मेरे प्रिय, मत रोओ."
"- You got it, boss.","<unk> <unk> , , , .","- आप, मालिक मिल गया."
They attempted contact yet?,<unk> <unk> भी भी कर कर,-उन्होंने संपर्क की कोशिश की ?
It wasn't anything special.,<unk> कुछ भी नहीं नहीं था,यह कुछ खास नहीं था।
Not in this office.,<unk> में में में <unk> .,इस कार्यालय में नहीं.
"- I'm so sorry, sir.","<unk> <unk> <unk> , , , सर सर","मुझे माफ करना, भगवान..."
"- No, stop it.","<unk> , , , . .","- नहीं, यह बंद करो."
"My lateral incisor, it's gone.","<unk> <unk> <unk> , यह है है है","मेरा पार्श्व छेनी, यह चला गया है."
I don't want to.,<unk> नहीं नहीं नहीं . .,मैं करने के लिए नहीं करना चाहती।
We killed many a barbarian.,<unk> <unk> <unk> <unk> <unk> .,हम कई एक जंगली मारे गए.
The strikes were almost surgical.,<unk> <unk> <unk> <unk> <unk> <unk> .,हमलों लगभग शल्य थे.
Will you let me in?,<unk> तुम <unk> <unk> ? ? ?,क्या तुम मुझे अंदर आने दोगे?
I'll relay the message,<unk> <unk> <unk> <unk> .,मैं संदेश रिले करेंगे
Jonathan just walk away.,<unk> बस पर . . .,जोनाथन बस चले।
That's the way it is.,<unk> <unk> <unk> <unk> है,यह ऐसा ही है.
Like you pay taxes.,<unk> <unk> <unk> <unk> <unk> .,आप करों का भुगतान की तरह.
Not the usual lot,"<unk> <unk> <unk> <unk> ,",हमेशा की तरह बहुत कुछ
Guess he likes you.,<unk> भी भी भी था .,वह तुम्हें पसंद करता है लगता है.
Damn your sorceress soul.,<unk> <unk> <unk> <unk> <unk> है,अपने जादूगरनी आत्मा धिक्कार है.
- Playing a stupid game.,<unk> <unk> <unk> है . .,- एक बेवकूफ खेल खेल रहे.
"- Is that you, boss?","<unk> <unk> <unk> , , , ?","- बॉस, आप हैं क्या?"
If you feel that way..,<unk> <unk> <unk> <unk> कि कर कर,अगर आपको ऐसा लगता है
- Do you copy?,<unk> <unk> <unk> ? ?,सुन पा रहे हो?
"As far as wheels go,",<unk> <unk> <unk> <unk> <unk> .,"जहाँ तक पहियों के रूप में जाना,"
Go back to bed.,<unk> <unk> के <unk> के लिए,तुम वापस सो जाओ जाके.
They will turn from Koba.,<unk> <unk> <unk> <unk> .,तो कोबा का साथ छोड़ देंगे।
I hear you suggested smuggling,<unk> <unk> <unk> <unk> <unk> <unk>,मैंने सुना है आप तस्करी का सुझाव दिया
But who is he?,<unk> वह कौन है ? ?,लेकिन वह है कौन?
Did you hear me?,<unk> तुम <unk> <unk> ? ?,क्या तुमने सुना?
- No one closer?,<unk> <unk> <unk> <unk> ?,- करीब कोई नहीं?
Nurse... prepare the conductor.,<unk> . . . . . .,नर्स... कंडक्टर तैयार करते हैं.
Hold her! Hold her!,<unk> <unk> <unk> <unk> ! !,पकड़ो उसे!
"No, let's go this way.","<unk> , चलो चलो चलते चलते चलते","नहीं, इधर से."
"Oh, look. It's you!","<unk> , , <unk> तुम <unk> !","ओह, देखिए, यह आप हैं!"
Ordnance live and loaded.,<unk> और <unk> <unk> <unk> <unk>,आयुध रहते हैं और भरी हुई.
"Come on, this way!","<unk> , , नीचे नीचे ! !","जल्दी करो, इधर!"
"Hey, it's not that bad.","<unk> , यह नहीं नहीं नहीं . .","ए, उतना बुरा भी नहीं है।"
"( Drumming, clamoring )",( <unk> <unk> <unk> <unk> <unk>,"(ढोल, clamoring)"
But your bombs doesn't work.,<unk> <unk> <unk> नहीं नहीं नहीं है .,लेकिन अपने बमों काम नहीं करता है.
